episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.5996963210000104,True,False
2,460.0,702,1087,0.2,0.025979158193380994,1.708945945000096,True,False
3,430.0,506,1593,0.2,0.027946402548398003,3.402162785000087,True,False
4,380.0,514,2107,0.2,0.026266160365366886,5.163780875000043,True,False
5,180.0,443,2550,0.2,0.028142744586131797,6.812874218000047,True,False
6,570.0,550,3100,0.2,0.026657405234088757,9.20243972000003,True,False
7,1380.0,744,3844,0.2,0.029682307689380582,11.839740537000011,True,False
8,1030.0,813,4657,0.2,0.032494808621176985,14.473537051000108,True,False
9,340.0,399,5056,0.2,0.032792896183673294,15.84937474600008,True,False
10,280.0,378,5434,0.2,0.03339691175410445,17.125641099000063,True,False
11,400.0,429,5863,0.2,0.03636299292165264,18.59915276600009,True,False
12,630.0,503,6366,0.2,0.03702690966874509,20.779680438000014,True,False
13,470.0,424,6790,0.2,0.04294980268152255,22.408086097000023,True,False
14,390.0,474,7264,0.2,0.0434205761734991,23.994902304000107,True,False
15,1070.0,644,7908,0.2,0.0448720445856452,26.12675326300007,True,False
16,970.0,751,8659,0.2,0.047784141262365694,28.570232890000057,True,False
17,380.0,530,9189,0.2,0.04686811292733073,30.359761373000083,True,False
18,1020.0,848,10037,0.2,0.04147308534296792,33.666094771000076,True,False
19,1030.0,545,10582,0.2,0.050853067899451536,35.51323602600007,True,False
20,1170.0,823,11405,0.2,0.04549263344480864,38.187244484000075,True,False
21,1100.0,659,12064,0.2,0.04583597842914363,40.35473658700005,True,False
22,450.0,537,12601,0.2,0.0487325274369874,42.197627288000035,True,False
23,330.0,403,13004,0.2,0.04764448050040715,43.602254437000056,True,False
24,790.0,634,13638,0.2,0.0450221767510535,46.275301772000034,True,False
25,240.0,326,13964,0.2,0.04737344670972628,47.45685078000008,True,False
