episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.6148748629998408,True,False
2,460.0,702,1087,0.2,0.025979085507887332,1.9847198569998454,True,False
3,430.0,506,1593,0.2,0.027947519685409407,4.166428441999869,True,False
4,970.0,746,2339,0.2,0.026533143349825556,6.658272173999876,True,False
5,830.0,947,3286,0.2,0.027461681018371275,9.743280493999919,True,False
6,940.0,698,3984,0.2,0.03191922034685766,12.051443017999873,True,False
7,470.0,502,4486,0.2,0.03518166354205459,14.060896961999788,True,False
8,530.0,697,5183,0.2,0.03312662385749342,16.9757643129999,True,False
9,780.0,629,5812,0.2,0.03361580776834648,19.099189792999823,True,False
10,420.0,456,6268,0.2,0.037847953626943195,20.688970573000006,True,False
11,330.0,429,6697,0.2,0.03622238013771511,22.2015775389998,True,False
12,380.0,625,7322,0.2,0.038395374162250966,24.322922199999994,True,False
13,620.0,640,7962,0.2,0.03677145586698316,26.644054573999938,True,False
14,1520.0,884,8846,0.2,0.03994718765970572,30.23896667599979,True,False
15,500.0,562,9408,0.2,0.03181269222289218,32.18067568599986,True,False
16,510.0,447,9855,0.2,0.03784827052338703,33.73605058699991,True,False
17,340.0,472,10327,0.2,0.04005744303497723,35.35839739999983,True,False
18,1120.0,962,11289,0.2,0.03962240080567486,38.54036816299981,True,False
19,260.0,431,11720,0.2,0.03985708500732909,40.393780965999895,True,False
20,270.0,379,12099,0.2,0.038332021329551935,42.107581397999866,True,False
21,510.0,511,12610,0.2,0.04025740606266481,43.86387596399982,True,False
22,1600.0,813,13423,0.2,0.04638413240986285,46.581968352999866,True,False
23,1300.0,921,14344,0.2,0.045540563701712465,49.65798351400008,True,False
24,390.0,536,14880,0.2,0.04537472711987237,51.48849469700008,True,False
25,330.0,584,15464,0.2,0.044097866933180456,54.09464111999978,True,False
26,1270.0,917,16381,0.2,0.04242193545255501,59.67517468599999,True,False
27,2830.0,990,17371,0.2,0.047632566787046096,63.06062130000009,True,False
28,440.0,482,17853,0.2,0.046455049567878985,64.9252964909997,True,False
29,1020.0,910,18763,0.2,0.045913189488549264,68.44721219999974,True,False
30,1000.0,727,19490,0.2,0.04973822852320314,70.87104804799992,True,False
31,530.0,744,20234,0.2,0.05108606505648343,73.39875695799992,True,False
32,540.0,537,20771,0.2,0.055774189198195046,75.28177583599972,True,False
33,780.0,592,21363,0.2,0.06044576722952361,77.5335124989997,True,False
34,1190.0,763,22126,0.2,0.054781439550786584,81.68342142699976,True,False
35,410.0,504,22630,0.2,0.051114504935131186,83.40553541500003,True,False
36,1250.0,939,23569,0.2,0.05834681030283583,86.48054841799967,True,False
37,200.0,318,23887,0.2,0.059393050726738915,87.65116708400001,True,False
38,610.0,604,24491,0.2,0.06202945866258137,89.81390995499987,True,False
39,270.0,338,24829,0.2,0.06060603353578378,91.61415952800007,True,False
40,540.0,491,25320,0.2,0.06173063198301366,93.7240220069998,True,False
41,790.0,646,25966,0.2,0.06417157524988426,95.89330904200006,True,False
42,490.0,570,26536,0.2,0.06406565014780922,97.8197844880001,True,False
43,270.0,384,26920,0.2,0.05422868988049837,99.16300852799986,True,False
44,970.0,756,27676,0.2,0.05743266752595821,101.71902438799998,True,False
45,580.0,649,28325,0.2,0.06158031324028141,104.47185801199976,True,False
46,1010.0,884,29209,0.2,0.05857337436036152,107.53048920799984,True,False
47,450.0,477,29686,0.2,0.06292552508006827,109.16817433699998,True,False
48,450.0,493,30179,0.2,0.0646021624428894,110.86443308399976,True,False
49,1950.0,630,30809,0.2,0.06530290492810309,112.9884534089997,True,False
50,500.0,439,31248,0.2,0.0626651511527598,114.51463922699986,True,False
51,580.0,565,31813,0.2,0.06900038126301258,119.22600060200011,True,False
52,1080.0,694,32507,0.2,0.06811194754921632,121.56413949399985,True,False
53,420.0,564,33071,0.2,0.06364656387702793,123.48128701899986,True,False
54,530.0,517,33588,0.2,0.07461279439023481,125.29821447699987,True,False
55,710.0,524,34112,0.2,0.06789914614570733,127.08386687699976,True,False
56,680.0,912,35024,0.2,0.06687466965849397,130.6859211609999,True,False
57,480.0,695,35719,0.2,0.06904711737162891,132.99897637699996,True,False
58,900.0,631,36350,0.2,0.06527927279755284,135.1308952290001,True,False
59,310.0,350,36700,0.2,0.06711207169362089,136.38631502499993,True,False
60,1700.0,835,37535,0.2,0.06574866085205801,139.1531270219998,True,False
61,280.0,413,37948,0.2,0.0626315116443528,140.81539080699986,True,False
62,430.0,434,38382,0.2,0.07338498858734965,142.76576088599995,True,False
63,600.0,804,39186,0.2,0.0807726008687817,145.419425907,True,False
64,400.0,529,39715,0.2,0.07114117467691275,147.2167692779999,True,False
65,1070.0,751,40466,0.2,0.07523877635360399,149.75265382899988,True,False
66,350.0,478,40944,0.2,0.08137356602431585,151.39697281899998,True,False
67,920.0,618,41562,0.2,0.07199771869201939,153.77010900999994,True,False
68,430.0,544,42106,0.2,0.07198738857336781,155.99305397699982,True,False
69,910.0,893,42999,0.2,0.07481924966896462,158.96799445399984,True,False
70,900.0,963,43962,0.2,0.07016144061839803,162.19041397799992,True,False
71,450.0,499,44461,0.2,0.0606525709554553,163.9018930889997,True,False
72,1270.0,731,45192,0.2,0.06349086024559261,166.76404182999977,True,False
73,1400.0,1020,46212,0.2,0.06595886085620697,170.38948864099984,True,False
74,540.0,489,46701,0.2,0.06731991580550055,172.0477656160001,True,False
75,330.0,556,47257,0.2,0.06453081556736566,173.9265267820001,True,False
76,380.0,475,47732,0.2,0.07031551948865923,178.23641788399982,True,False
77,630.0,571,48303,0.2,0.07120443417520171,180.71253707000005,True,False
78,520.0,589,48892,0.2,0.07197005474134474,182.71849103399973,True,False
79,860.0,745,49637,0.2,0.08214477215322756,185.22782469100002,True,False
80,440.0,616,50253,0.2,0.08280704325282728,187.28966098,True,False
81,370.0,462,50715,0.2,0.0729680923583067,188.90572821099977,True,False
82,1250.0,965,51680,0.2,0.08680486032539163,192.7181715659999,True,False
83,610.0,552,52232,0.2,0.07714651843559915,194.63999067299983,True,False
84,590.0,635,52867,0.2,0.0990894731381743,196.78946846300005,True,False
85,380.0,390,53257,0.2,0.07856510379066577,198.14823720200002,True,False
86,400.0,407,53664,0.2,0.08064207949620836,199.60761518299978,True,False
87,400.0,438,54102,0.2,0.0886433909587357,201.1354307030001,True,False
88,490.0,473,54575,0.2,0.10052375440975114,202.78860545499992,True,False
89,610.0,775,55350,0.2,0.08670582408181478,205.97698645499986,True,False
90,480.0,523,55873,0.2,0.08376125804369004,207.7726916239999,True,False
91,340.0,392,56265,0.2,0.08425836840036269,209.14998496399994,True,False
92,640.0,643,56908,0.2,0.0937697250072075,211.3563329159997,True,False
93,1170.0,862,57770,0.2,0.10605526461244323,214.20164306199968,True,False
94,310.0,387,58157,0.2,0.08809783043743101,215.68209491299967,True,False
95,920.0,1000,59157,0.2,0.09017014713212848,219.5148787979997,True,False
96,730.0,589,59746,0.2,0.09308359251820109,221.52316938900003,True,False
97,450.0,493,60239,0.2,0.09835717452281131,223.267981728,True,False
98,740.0,538,60777,0.2,0.10545595939512606,225.11454738699967,True,False
99,230.0,291,61068,0.2,0.11494907328527268,226.206611134,True,False
